Date,ID,Tweet
14/05/2020 02:50,1.38E+18,Modi and BJP agenda is to sell India and create a divided nation filled with hate where minorities are surpressed (including Hindu minorities aka lower caste folk). Congress destroyed Sikhs but BJPs agenda is far scarier. \n\n#StopHateAgainstFarmers\n#FarmersProtest https://t.co/8OZYHvXJ6J
15/05/2020 02:50,1.38E+18,@rakhitripathi #FarmersProtest is the protest of every citizen of secular india. It is not limited to the sikhs &amp; haryanvis of india. Every hindu muslim sikh
16/05/2020 02:50,1.38E+18,It's time show our unity to the real broker of the Nation which is BJP..\nStand up for your rights\n#FarmersProtest\n      ||No Farmers No Food||\n#StopHateAgainstFarmers https://t.co/Fr3IEz1z7w 
17/05/2020 02:51,1.38E+18,@IamOnir They r doin rallies in WB in d wake of #FarmersProtest &amp; thr r sum dumbtards who'll vote fr them.Such an unfortunate situation.Wots wrong wid these BJP supporters? Can't they understand if these farmers were khalistaanis like kanhaiya was a terrorist then they'd hv been in jail?
18/05/2020 02:51,1.38E+18,Did you know farmers in India continue to live &amp; die in debt while the likes of ambani/adani get richer?! How is that fair?\n\n#StopHateAgainstFarmers\n#FarmersProtest\n#GoBackModi https://t.co/aWkYLWgJ5i 
19/05/2020 02:51,1.38E+18,According to the haters the farmers been renamed khalistanis \ud83d\ude02\ud83d\ude02\ud83d\ude02 So now onwards in their dictionary the word farmer does not exist. #StopHateAgainstFarmers #FarmersProtest 
20/05/2020 02:52,1.38E+18,Morning Hooka &amp; Some Ghor Political Conversations with The Elders !\n#HookaJeevi ;) \n\n@Kisansocialarmy #FarmersProtest https://t.co/41eg6fyj2Q 
21/05/2020 02:52,1.38E+18,While farmers have planted seeds of love bjp is busy spreading hate &amp; lies. #StopHateAgainstFarmers #FarmersProtest https://t.co/JEZBJ8pmrB
22/05/2020 02:52,1.38E+18,How could you people HATE such Souls... There Religion is only Hard Work and Feed the Nation... Unbelievable... STOP HATING FARMERS and SUPPORT their AGITATION. #StopHateAgainstFarmers #FarmersProtest https://t.co/kAJHaMfc0e
23/05/2020 02:53,1.38E+18,Instead of listening to what the farmers want Bjp govt is trying everything to suppress the voices of the farmers. Why? What is the govt trying to hide?! #StopHateAgainstFarmers #\u0938\u0930\u0915\u093e\u0930_MSP_\u0915\u0947\u0902\u0926\u094d\u0930_\u0916\u094b\u0932\u094b #Desh_Ka_Gaddar_RSS #GoBackModi #FarmersProtest https://t.co/BDKDKj0qyo
24/05/2020 02:53,1.38E+18,I have come to believe that I have indeed been \u201carguing\u201d with some Modi IT cells. They see no reason or logic. Why would they when they\u2019re getting paid like 2 rupees per tweet. \n\nJust report them to @Twitter @TwitterIndia @SGPCAmritsar @TeamSaath @officialdsgmc #FarmersProtest
25/05/2020 02:54,1.38E+18,No one likes to be outside the comfort of own homes let along for 4 long months braving the frigid cold rains and now heat. Total Respect for the #FarmersProtest for standing up for their and our rights #StopHateAgainstFarmers  @NavJammu @JerryTo67518302 @GoldyGuron @4920_bullet https://t.co/jv8HH1aCft 
26/05/2020 02:54,1.38E+18,#StopHateAgainstFarmers\nFarming is an occupation. It is not limited to a religion or a cast.\n#FarmersProtest 
27/05/2020 02:54,1.38E+18,Hate can't divide us and break us ...This thing govt. must understand. #FarmersProtest #StopHateAgainstFarmers #\u0938\u0930\u0915\u093e\u0930_MSP_\u0915\u0947\u0902\u0926\u094d\u0930_\u0916\u094b\u0932\u094b #Desh_Ka_Gaddar_RSS #GoBackModi https://t.co/5iOdEjmv47 
28/05/2020 02:55,1.38E+18,Someone thinking of his chair someone around him When will Punjab and the future of Punjab be considered? #\u0938\u0930\u0915\u093e\u0930_MSP_\u0915\u0947\u0902\u0926\u094d\u0930_\u0916\u094b\u0932\u094b #StopHateAgainstFarmers #FarmersProtest https://t.co/pUhOZ5JVWW
29/05/2020 02:55,1.38E+18,A nation that destroys its soils destroys itself. Farmers are the lungs of our nation REMEMBER it. #FarmersProtest #StopHateAgainstFarmers #\u0938\u0930\u0915\u093e\u0930_MSP_\u0915\u0947\u0902\u0926\u094d\u0930_\u0916\u094b\u0932\u094b #Desh_Ka_Gaddar_RSS #GoBackModi https://t.co/8n2qW9Kd1w 
30/05/2020 02:55,1.38E+18,Always give respect To our Indian farmers Kisaan majdoor ekta zindabaad #FarmersProtest #StopHateAgainstFarmers https://t.co/AHDxnLaIn2 
